"Crossoverrate","Mutationrate","RF...Ranking","Mutation...Ranking","Execution.Time...Ranking","RF...Mutation...Ranking","Overall...Ranking"
0,0,101,4,1,52.5,1
0,0.1,114,11,67,98,82
0,0.2,104,57,58.5,115,89
0,0.3,92,65,51.5,112,80
0,0.4,106,3,49,59,50
0,0.5,113,1,40,48,28
0,0.6,112,52,37,117,72
0,0.7,119,5,26,96.5,38
0,0.8,93,18,22,81,25
0,0.9,117,8,21,101,35
0,1,74,25,2,39,2
0.1,0,96,6,50,52.5,48
0.1,0.1,76,17,80.5,40.5,77
0.1,0.2,67.5,49,73,75.5,79
0.1,0.3,105,74.5,56,120,99
0.1,0.4,57,58,64,38,57
0.1,0.5,81,28,63,68,62
0.1,0.6,72,41,48,61.5,46
0.1,0.7,110.5,12,34,93,43
0.1,0.8,79,20,27,49,18
0.1,0.9,83,53,14,100,23
0.1,1,116,15,13,102,24
0.2,0,91,35.5,78,90,87.5
0.2,0.1,61,92,95,92,108
0.2,0.2,66,42.5,88,51,91
0.2,0.3,38,35.5,76.5,9,51
0.2,0.4,44,47,85,20,71
0.2,0.5,58,16,58.5,11,32
0.2,0.6,48.5,64,60,29,49
0.2,0.7,87,69,39,110,61
0.2,0.8,41,61,30,23,11
0.2,0.9,97,31,17.5,96.5,26
0.2,1,107,10,7,89,8.5
0.3,0,103,39,87,106,109
0.3,0.1,40,80,104,36,102
0.3,0.2,27,70,93,17,78
0.3,0.3,39,98,90,60,96
0.3,0.4,59,59,76.5,42,75
0.3,0.5,18,109,70,33,64
0.3,0.6,24.5,55.5,74,8,45
0.3,0.7,60,84,57,86,67
0.3,0.8,100,79,31,119,69
0.3,0.9,80,24,15,57,12
0.3,1,120,2,3,91,8.5
0.4,0,110.5,34,106,105,118
0.4,0.1,9,112.5,113,28,110
0.4,0.2,10,87,102,10,85
0.4,0.3,8,119,89,50,87.5
0.4,0.4,47,92,86,69,90
0.4,0.5,42,68,69,27,60
0.4,0.6,75,9,51.5,26,39
0.4,0.7,65,55.5,33,70,29
0.4,0.8,86,37,35,87,40
0.4,0.9,109,45,24,114,54
0.4,1,89,67,5,111,22
0.5,0,95,22,111,85,115
0.5,0.1,22,78,105,12,92
0.5,0.2,12,104,103,21,98
0.5,0.3,19,117,91,56,97
0.5,0.4,26,50,83,7,56
0.5,0.5,64,66,65,72,68
0.5,0.6,53,89,54,79,63
0.5,0.7,51,101,46,84,52
0.5,0.8,55,7,29,4,3
0.5,0.9,71,48,20,78,20
0.5,1,118,14,6,109,21
0.6,0,121,51,112,121,121
0.6,0.1,43,81,110,40.5,111
0.6,0.2,20,111,98,44.5,101
0.6,0.3,17,95,94,19,84
0.6,0.4,52,102.5,84,88,95
0.6,0.5,63,60,71,64,76
0.6,0.6,46,54,61.5,24,44
0.6,0.7,85,30,44.5,77,47
0.6,0.8,32,106,41,67,37
0.6,0.9,82,46,11,95,16
0.6,1,108,26,10,103,17
0.7,0,99,33,115,99,120
0.7,0.1,3,108,117,18,106
0.7,0.2,5,121,109,63,113
0.7,0.3,14,96,100,15,86
0.7,0.4,54,77,80.5,65.5,83
0.7,0.5,15.5,110,82,30.5,74
0.7,0.6,35,38,47,5,13
0.7,0.7,31,23,43,2,4
0.7,0.8,48.5,19,38,6,5
0.7,0.9,84,63,17.5,104,36
0.7,1,102,62,9,116,34
0.8,0,90,21,118.5,75.5,117
0.8,0.1,23,83,116,22,105
0.8,0.2,50,82,101,54,104
0.8,0.3,11,116,96,32,94
0.8,0.4,7,72,79,3,41
0.8,0.5,36,102.5,55,55,58
0.8,0.6,33,107,61.5,74,65
0.8,0.7,67.5,97,42,107,66
0.8,0.8,62,44,23,43,14
0.8,0.9,73,27,16,37,6
0.8,1,94,85.5,12,118,42
0.9,0,69,42.5,121,58,116
0.9,0.1,29,92,114,30.5,112
0.9,0.2,21,112.5,107,46,107
0.9,0.3,13,92,97,13,81
0.9,0.4,4,120,92,47,93
0.9,0.5,28,105,72,44.5,73
0.9,0.6,30,114,53,73,59
0.9,0.7,24.5,71,44.5,14,15
0.9,0.8,37,100,36,61.5,33
0.9,0.9,70,73,19,94,30
0.9,1,98,13,8,83,7
1,0,88,32,120,82,119
1,0.1,6,115,118.5,25,114
1,0.2,34,85.5,108,34,103
1,0.3,2,118,99,35,100
1,0.4,15.5,92,75,16,55
1,0.5,56,76,68,65.5,70
1,0.6,1,74.5,66,1,10
1,0.7,45,99,32,71,31
1,0.8,77,40,28,80,27
1,0.9,78,88,25,113,53
1,1,115,29,4,108,19
