Run,Crossoverrate,Mutationrate,TS,RTS,Mutation Score,Time
1,0.0,0.0,21,16,.9101,2.934
2,0.0,0.1,21,8,.9101,10.843
3,0.0,0.2,21,6,.8862,13.774
4,0.0,0.3,21,7,.8922,11.791
5,0.0,0.4,21,8,.8982,11.428
6,0.0,0.5,21,8,.9041,8.148
7,0.0,0.6,21,7,.9041,7.865
8,0.0,0.7,21,7,.8982,7.076
9,0.0,0.8,21,6,.8982,6.706
10,0.0,0.9,21,8,.8982,6.613
11,0.0,1.0,21,7,.8982,5.021
12,0.1,0.0,21,10,.9161,13.476
13,0.1,0.1,21,9,.9041,12.665
14,0.1,0.2,21,8,.8982,12.549
15,0.1,0.3,21,8,.8862,9.337
16,0.1,0.4,21,7,.8982,12.928
17,0.1,0.5,21,8,.9041,11.59
18,0.1,0.6,21,6,.8982,8.35
19,0.1,0.7,21,8,.9041,7.77
20,0.1,0.8,21,7,.9041,8.94
21,0.1,0.9,21,8,.8982,5.981
22,0.1,1.0,21,7,.8922,5.877
23,0.2,0.0,21,9,.9041,20.731
24,0.2,0.1,21,8,.8982,13.819
25,0.2,0.2,21,8,.8982,14.176
26,0.2,0.3,21,7,.9041,13.33
27,0.2,0.4,21,7,.8982,11.616
28,0.2,0.5,21,7,.8982,10.755
29,0.2,0.6,21,7,.8982,12.329
30,0.2,0.7,21,7,.8922,6.866
31,0.2,0.8,21,6,.8922,7.279
32,0.2,0.9,21,8,.9041,5.569
33,0.2,1.0,21,6,.8982,6.951
34,0.3,0.0,21,8,.9041,35.035
35,0.3,0.1,21,7,.8982,20.947
36,0.3,0.2,21,7,.8862,16.068
37,0.3,0.3,21,7,.8982,16.709
38,0.3,0.4,21,7,.9041,12.261
39,0.3,0.5,21,6,.8862,12.616
40,0.3,0.6,21,6,.8862,10.273
41,0.3,0.7,21,7,.8862,9.423
42,0.3,0.8,21,8,.8982,9.165
43,0.3,0.9,21,7,.8982,7.055
44,0.3,1.0,21,8,.9161,5.27
45,0.4,0.0,21,8,.8982,40.554
46,0.4,0.1,21,6,.8982,19.867
47,0.4,0.2,21,6,.8982,19.91
48,0.4,0.3,21,6,.8982,15.532
49,0.4,0.4,21,7,.8982,13.486
50,0.4,0.5,21,6,.8982,10.964
51,0.4,0.6,21,8,.9041,10.187
52,0.4,0.7,21,7,.8862,8.325
53,0.4,0.8,21,8,.9041,9.454
54,0.4,0.9,21,8,.8982,5.901
55,0.4,1.0,21,8,.8982,4.963
56,0.5,0.0,21,8,.8982,42.253
57,0.5,0.1,21,7,.9041,24.895
58,0.5,0.2,21,7,.8982,19.807
59,0.5,0.3,21,7,.8862,12.419
60,0.5,0.4,21,7,.8982,14.06
61,0.5,0.5,21,7,.9041,11.333
62,0.5,0.6,21,7,.8862,12.089
63,0.5,0.7,21,7,.8862,8.318
64,0.5,0.8,21,7,.8982,10.32
65,0.5,0.9,21,6,.8862,8.533
66,0.5,1.0,21,7,.8982,6.214
67,0.6,0.0,21,8,.8982,49.076
68,0.6,0.1,21,7,.8982,27.67
69,0.6,0.2,21,7,.8862,22.137
70,0.6,0.3,21,7,.8982,17.768
71,0.6,0.4,21,7,.8982,16.534
72,0.6,0.5,21,8,.9041,11.451
73,0.6,0.6,21,8,.8982,9.222
74,0.6,0.7,21,8,.9041,9.056
75,0.6,0.8,21,7,.8862,7.417
76,0.6,0.9,21,8,.8982,5.77
77,0.6,1.0,21,6,.8922,6.144
78,0.7,0.0,21,8,.8982,53.746
79,0.7,0.1,21,7,.8982,26.172
80,0.7,0.2,21,6,.8862,17.199
81,0.7,0.3,21,6,.8862,15.211
82,0.7,0.4,21,6,.8862,12.06
83,0.7,0.5,21,7,.8982,13.675
84,0.7,0.6,21,7,.8982,9.327
85,0.7,0.7,21,6,.8982,9.183
86,0.7,0.8,21,7,.9041,10.021
87,0.7,0.9,21,6,.8862,8.153
88,0.7,1.0,21,7,.8982,5.178
89,0.8,0.0,21,8,.8982,55.916
90,0.8,0.1,21,6,.8862,27.165
91,0.8,0.2,21,8,.9041,18.9
92,0.8,0.3,21,7,.9041,18.572
93,0.8,0.4,21,6,.8982,14.001
94,0.8,0.5,21,8,.9041,11.186
95,0.8,0.6,21,8,.8982,11.626
96,0.8,0.7,21,7,.8862,10.726
97,0.8,0.8,21,7,.8982,7.748
98,0.8,0.9,21,7,.8982,8.648
99,0.8,1.0,21,6,.8862,5.794
100,0.9,0.0,21,8,.8982,62.186
101,0.9,0.1,21,8,.8982,31.778
102,0.9,0.2,21,8,.8982,21.979
103,0.9,0.3,21,8,.8982,20.499
104,0.9,0.4,21,6,.8862,16.931
105,0.9,0.5,21,7,.8982,13.775
106,0.9,0.6,21,7,.8862,9.463
107,0.9,0.7,21,7,.8982,9.283
108,0.9,0.8,21,8,.8982,9.079
109,0.9,0.9,21,7,.8982,5.988
110,0.9,1.0,21,7,.8982,5.465
111,1.0,0.0,21,8,.8982,65.452
112,1.0,0.1,21,7,.8982,32.718
113,1.0,0.2,21,7,.8982,23.332
114,1.0,0.3,21,6,.8922,16.483
115,1.0,0.4,21,6,.8982,15.743
116,1.0,0.5,21,8,.8982,12.418
117,1.0,0.6,21,6,.8982,13.838
118,1.0,0.7,21,8,.8982,9.186
119,1.0,0.8,21,8,.8982,8.828
120,1.0,0.9,21,7,.8982,9.903
121,1.0,1.0,21,7,.8982,5.581
