Run,Crossoverrate,Mutationrate,TS,RTS,Mutation Score,Time
1,0.0,0.0,318,292,.8816,24.543
2,0.0,0.1,318,298,.8789,458.259
3,0.0,0.2,318,296,.8775,456.412
4,0.0,0.3,318,290,.8816,457.954
5,0.0,0.4,318,296,.8829,388.904
6,0.0,0.5,318,296,.8829,331.386
7,0.0,0.6,318,291,.8761,280.939
8,0.0,0.7,318,296,.8829,235.835
9,0.0,0.8,318,291,.8816,179.848
10,0.0,0.9,318,297,.8802,124.818
11,0.0,1.0,318,290,.8829,64.294
12,0.1,0.0,318,294,.8816,334.555
13,0.1,0.1,318,271,.8775,852.67
14,0.1,0.2,318,273,.8816,570.924
15,0.1,0.3,318,269,.8761,502.256
16,0.1,0.4,318,271,.8802,522.699
17,0.1,0.5,318,267,.8748,423.945
18,0.1,0.6,318,263,.8802,461.507
19,0.1,0.7,318,275,.8802,314.055
20,0.1,0.8,318,283,.8816,223.041
21,0.1,0.9,318,275,.8734,140.307
22,0.1,1.0,318,294,.8775,81.701
23,0.2,0.0,318,295,.8829,622.557
24,0.2,0.1,318,257,.8802,2195.789
25,0.2,0.2,318,267,.8816,969.813
26,0.2,0.3,318,243,.8734,988.11
27,0.2,0.4,318,244,.8680,1388.894
28,0.2,0.5,318,262,.8802,581.394
29,0.2,0.6,318,249,.8789,551.334
30,0.2,0.7,318,268,.8734,331.716
31,0.2,0.8,318,274,.8802,220.613
32,0.2,0.9,318,276,.8816,142.472
33,0.2,1.0,318,293,.8775,68.229
34,0.3,0.0,318,290,.8789,838.778
35,0.3,0.1,318,274,.8789,931.719
36,0.3,0.2,318,271,.8802,668.174
37,0.3,0.3,318,258,.8802,879.152
38,0.3,0.4,318,272,.8802,460.355
39,0.3,0.5,318,254,.8775,768.169
40,0.3,0.6,318,263,.8734,505.243
41,0.3,0.7,318,264,.8748,295.617
42,0.3,0.8,318,266,.8802,364.113
43,0.3,0.9,318,271,.8802,120.812
44,0.3,1.0,318,296,.8816,65.526
45,0.4,0.0,318,292,.8789,1344.767
46,0.4,0.1,318,263,.8734,2081.913
47,0.4,0.2,318,264,.8775,844.22
48,0.4,0.3,318,249,.8707,694.769
49,0.4,0.4,318,251,.8748,1163.903
50,0.4,0.5,318,270,.8802,394.798
51,0.4,0.6,318,265,.8829,246.739
52,0.4,0.7,318,265,.8802,241.706
53,0.4,0.8,318,273,.8734,148.536
54,0.4,0.9,318,270,.8775,125.343
55,0.4,1.0,318,295,.8789,65.75
56,0.5,0.0,318,292,.8802,1454.325
57,0.5,0.1,318,251,.8693,1577.827
58,0.5,0.2,318,254,.8748,1937.843
59,0.5,0.3,318,257,.8802,966.821
60,0.5,0.4,318,262,.8816,484.908
61,0.5,0.5,318,262,.8789,448.786
62,0.5,0.6,318,258,.8734,280.384
63,0.5,0.7,318,249,.8639,301.303
64,0.5,0.8,318,269,.8816,238.738
65,0.5,0.9,318,265,.8734,134.123
66,0.5,1.0,318,293,.8816,66.765
67,0.6,0.0,318,298,.8802,1347.181
68,0.6,0.1,318,260,.8734,1871.408
69,0.6,0.2,318,251,.8734,1491.84
70,0.6,0.3,318,252,.8721,974.82
71,0.6,0.4,318,253,.8775,630.87
72,0.6,0.5,318,259,.8802,706.854
73,0.6,0.6,318,250,.8761,434.096
74,0.6,0.7,318,260,.8802,259.527
75,0.6,0.8,318,251,.8775,252.464
76,0.6,0.9,318,266,.8775,119.97
77,0.6,1.0,318,296,.8829,66.281
78,0.7,0.0,318,287,.8748,1872.81
79,0.7,0.1,318,254,.8775,3361.047
80,0.7,0.2,318,239,.8761,2549.91
81,0.7,0.3,318,235,.8789,2131.892
82,0.7,0.4,318,255,.8761,811.294
83,0.7,0.5,318,222,.8653,1371.33
84,0.7,0.6,318,262,.8802,310.307
85,0.7,0.7,318,271,.8802,155.496
86,0.7,0.8,318,255,.8775,239.156
87,0.7,0.9,318,277,.8761,92.08
88,0.7,1.0,318,297,.8802,64.384
89,0.8,0.0,318,293,.8829,2326.562
90,0.8,0.1,318,253,.8789,3069.855
91,0.8,0.2,318,260,.8789,992.082
92,0.8,0.3,318,245,.8680,1063.02
93,0.8,0.4,318,270,.8829,363.084
94,0.8,0.5,318,252,.8693,508.941
95,0.8,0.6,318,248,.8693,498.642
96,0.8,0.7,318,256,.8680,255.885
97,0.8,0.8,318,259,.8789,129.758
98,0.8,0.9,318,274,.8802,132.134
99,0.8,1.0,318,294,.8775,70.664
100,0.9,0.0,318,293,.8816,2751.505
101,0.9,0.1,318,257,.8816,1586.953
102,0.9,0.2,318,256,.8775,1643.468
103,0.9,0.3,318,245,.8775,1256.726
104,0.9,0.4,318,245,.8775,922.439
105,0.9,0.5,318,247,.8734,324.957
106,0.9,0.6,318,244,.8666,439.913
107,0.9,0.7,318,263,.8789,230.132
108,0.9,0.8,318,259,.8734,214.48
109,0.9,0.9,318,258,.8761,156.475
110,0.9,1.0,318,296,.8816,91.967
111,1.0,0.0,318,291,.8829,2027.381
112,1.0,0.1,318,255,.8802,2088.993
113,1.0,0.2,318,263,.8802,1008.289
114,1.0,0.3,318,244,.8721,785.598
115,1.0,0.4,318,243,.8789,558.315
116,1.0,0.5,318,254,.8721,376.102
117,1.0,0.6,318,242,.8761,438.602
118,1.0,0.7,318,258,.8734,227.356
119,1.0,0.8,318,253,.8816,190.945
120,1.0,0.9,318,272,.8761,123.196
121,1.0,1.0,318,293,.8748,67.105
