Run,Crossoverrate,Mutationrate,TS,RTS,Mutation Score,Time
1,0.0,0.0,311,292,.8208,26.151
2,0.0,0.1,311,290,.8177,499.935
3,0.0,0.2,311,292,.8208,484.36
4,0.0,0.3,311,287,.8177,459.882
5,0.0,0.4,311,292,.8193,410.643
6,0.0,0.5,311,287,.8208,365.219
7,0.0,0.6,311,291,.8177,298.665
8,0.0,0.7,311,289,.8161,240.949
9,0.0,0.8,311,290,.8208,184.898
10,0.0,0.9,311,287,.8193,124.153
11,0.0,1.0,311,290,.8177,62.487
12,0.1,0.0,311,281,.8193,718.333
13,0.1,0.1,311,238,.8084,1697.206
14,0.1,0.2,311,238,.8161,1834.765
15,0.1,0.3,311,263,.8161,677.362
16,0.1,0.4,311,245,.8161,697.678
17,0.1,0.5,311,259,.8146,570.284
18,0.1,0.6,311,251,.8068,408.379
19,0.1,0.7,311,265,.8177,376.33
20,0.1,0.8,311,270,.8177,202.964
21,0.1,0.9,311,264,.8161,256.508
22,0.1,1.0,311,287,.8177,64.203
23,0.2,0.0,311,273,.8115,1858.297
24,0.2,0.1,311,240,.8099,2108.159
25,0.2,0.2,311,241,.8068,1952.063
26,0.2,0.3,311,236,.8115,1892.447
27,0.2,0.4,311,235,.8099,1427.613
28,0.2,0.5,311,233,.8006,1319.297
29,0.2,0.6,311,221,.8006,1282.285
30,0.2,0.7,311,245,.8084,453.174
31,0.2,0.8,311,241,.8052,394.363
32,0.2,0.9,311,252,.8084,234.185
33,0.2,1.0,311,285,.8177,63.283
34,0.3,0.0,311,277,.8177,1728.311
35,0.3,0.1,311,213,.8037,4416.269
36,0.3,0.2,311,207,.8084,3119.97
37,0.3,0.3,311,219,.8052,1782.098
38,0.3,0.4,311,199,.8099,2278.682
39,0.3,0.5,311,225,.8052,1067.836
40,0.3,0.6,311,237,.8193,1251.069
41,0.3,0.7,311,233,.8021,518.561
42,0.3,0.8,311,249,.8068,296.54
43,0.3,0.9,311,259,.8068,180.429
44,0.3,1.0,311,291,.8161,62.83
45,0.4,0.0,311,270,.8130,3620.905
46,0.4,0.1,311,208,.8099,4270.325
47,0.4,0.2,311,198,.8006,3448.812
48,0.4,0.3,311,207,.8037,2675.514
49,0.4,0.4,311,215,.8052,2063.342
50,0.4,0.5,311,191,.7975,1697.901
51,0.4,0.6,311,233,.8146,792.164
52,0.4,0.7,311,232,.8115,834.223
53,0.4,0.8,311,229,.8146,341.47
54,0.4,0.9,311,260,.8161,237.049
55,0.4,1.0,311,290,.8146,63.356
56,0.5,0.0,311,267,.8177,4266.678
57,0.5,0.1,311,204,.8052,4774.674
58,0.5,0.2,311,217,.8037,2294.633
59,0.5,0.3,311,199,.7912,2395.028
60,0.5,0.4,311,195,.8068,1924.733
61,0.5,0.5,311,202,.7881,1223.21
62,0.5,0.6,311,216,.8099,1219.528
63,0.5,0.7,311,245,.8115,414.745
64,0.5,0.8,311,248,.8130,729.851
65,0.5,0.9,311,267,.8177,148.683
66,0.5,1.0,311,289,.8177,62.701
67,0.6,0.0,311,277,.8177,3470.389
68,0.6,0.1,311,213,.8115,4360.11
69,0.6,0.2,311,192,.8021,3792.569
70,0.6,0.3,311,218,.8068,1701.399
71,0.6,0.4,311,178,.8006,2065.472
72,0.6,0.5,311,226,.8037,988.388
73,0.6,0.6,311,245,.8115,563.669
74,0.6,0.7,311,223,.8084,626.985
75,0.6,0.8,311,228,.7990,520.99
76,0.6,0.9,311,259,.8208,148.092
77,0.6,1.0,311,287,.8193,64.147
78,0.7,0.0,311,276,.8177,4145.924
79,0.7,0.1,311,194,.8021,5278.942
80,0.7,0.2,311,193,.7943,3304.713
81,0.7,0.3,311,199,.8037,2600.791
82,0.7,0.4,311,227,.8084,1121.373
83,0.7,0.5,311,205,.7943,1130.796
84,0.7,0.6,311,228,.8068,659.1
85,0.7,0.7,311,228,.8161,545.666
86,0.7,0.8,311,265,.8146,161.561
87,0.7,0.9,311,247,.8177,222.921
88,0.7,1.0,311,287,.8161,63.103
89,0.8,0.0,311,251,.8146,9955.036
90,0.8,0.1,311,210,.8146,3263.243
91,0.8,0.2,311,191,.7990,2951.778
92,0.8,0.3,311,191,.7975,2806.693
93,0.8,0.4,311,200,.8115,1249.409
94,0.8,0.5,311,207,.8037,949.044
95,0.8,0.6,311,224,.8006,737.871
96,0.8,0.7,311,223,.7881,477.45
97,0.8,0.8,311,248,.8177,249.069
98,0.8,0.9,311,258,.8177,190.194
99,0.8,1.0,311,286,.8161,65.763
100,0.9,0.0,311,269,.8177,6468.72
101,0.9,0.1,311,214,.8006,3044.678
102,0.9,0.2,311,192,.7959,2535.341
103,0.9,0.3,311,206,.8021,2044.704
104,0.9,0.4,311,198,.7959,1912.126
105,0.9,0.5,311,195,.8052,1355.41
106,0.9,0.6,311,222,.7975,544.532
107,0.9,0.7,311,210,.8052,675.742
108,0.9,0.8,311,240,.8068,296.565
109,0.9,0.9,311,259,.8146,124.652
110,0.9,1.0,311,286,.8208,63.711
111,1.0,0.0,311,250,.8146,10847.168
112,1.0,0.1,311,198,.7990,5071.52
113,1.0,0.2,311,192,.7928,3349.938
114,1.0,0.3,311,181,.8037,2560.518
115,1.0,0.4,311,251,.8146,359.987
116,1.0,0.5,311,195,.8037,1121.672
117,1.0,0.6,311,194,.8084,825.656
118,1.0,0.7,311,203,.8052,650.658
119,1.0,0.8,311,263,.8177,102.073
120,1.0,0.9,311,248,.8130,182.623
121,1.0,1.0,311,289,.8177,62.625
