Run,Crossoverrate,Mutationrate,TS,RTS,Mutation Score,Time
1,0.0,0.0,90,89,.9655,2.532
2,0.0,0.1,90,68,.9655,38.008
3,0.0,0.2,90,88,.9655,16.529
4,0.0,0.3,90,84,.9655,15.853
5,0.0,0.4,90,85,.9655,14.528
6,0.0,0.5,90,86,.9655,13.148
7,0.0,0.6,90,88,.9655,11.98
8,0.0,0.7,90,87,.9655,10.747
9,0.0,0.8,90,85,.9655,9.241
10,0.0,0.9,90,88,.9655,7.167
11,0.0,1.0,90,84,.9655,6.219
12,0.1,0.0,90,85,.9655,12.253
13,0.1,0.1,90,57,.9568,37.494
14,0.1,0.2,90,86,.9568,18.761
15,0.1,0.3,90,85,.9655,17.218
16,0.1,0.4,90,83,.9655,13.639
17,0.1,0.5,90,54,.9568,50.911
18,0.1,0.6,90,87,.9655,12.415
19,0.1,0.7,90,88,.9655,10.676
20,0.1,0.8,90,87,.9655,9.172
21,0.1,0.9,90,87,.9655,7.686
22,0.1,1.0,90,85,.9655,6.22
23,0.2,0.0,90,87,.9655,20.226
24,0.2,0.1,90,52,.9568,69.897
25,0.2,0.2,90,56,.9482,41.813
26,0.2,0.3,90,87,.9655,18.127
27,0.2,0.4,90,62,.9655,46.367
28,0.2,0.5,90,63,.9655,17.893
29,0.2,0.6,90,59,.9568,25.398
30,0.2,0.7,90,62,.9568,22.626
31,0.2,0.8,90,88,.9655,8.935
32,0.2,0.9,90,73,.9655,10.255
33,0.2,1.0,90,87,.9655,6.117
34,0.3,0.0,90,85,.9655,27.064
35,0.3,0.1,90,52,.9482,77.088
36,0.3,0.2,90,52,.9655,66.71
37,0.3,0.3,90,56,.9482,56.222
38,0.3,0.4,90,61,.9482,32.99
39,0.3,0.5,90,56,.9655,27.794
40,0.3,0.6,90,64,.9655,26.472
41,0.3,0.7,90,64,.9568,24.413
42,0.3,0.8,90,86,.9655,8.886
43,0.3,0.9,90,87,.9655,7.646
44,0.3,1.0,90,88,.9655,7.712
45,0.4,0.0,90,89,.9655,32.328
46,0.4,0.1,90,47,.9482,80.734
47,0.4,0.2,90,55,.9568,62.661
48,0.4,0.3,90,55,.9396,45.919
49,0.4,0.4,90,48,.9568,38.939
50,0.4,0.5,90,59,.9482,19.861
51,0.4,0.6,90,55,.9568,29.287
52,0.4,0.7,90,87,.9655,10.073
53,0.4,0.8,90,58,.9655,17.055
54,0.4,0.9,90,88,.9655,7.457
55,0.4,1.0,90,88,.9655,6.296
56,0.5,0.0,90,88,.9655,38.071
57,0.5,0.1,90,52,.9482,84.632
58,0.5,0.2,90,47,.9396,81.003
59,0.5,0.3,90,51,.9568,53.166
60,0.5,0.4,90,53,.9655,33.934
61,0.5,0.5,90,58,.9568,31.825
62,0.5,0.6,90,49,.9568,38.042
63,0.5,0.7,90,60,.9568,25.716
64,0.5,0.8,90,88,.9655,8.584
65,0.5,0.9,90,65,.9568,19.819
66,0.5,1.0,90,89,.9655,6.478
67,0.6,0.0,90,88,.9655,41.29
68,0.6,0.1,90,63,.9655,45.829
69,0.6,0.2,90,53,.9655,49.845
70,0.6,0.3,90,55,.9568,45.286
71,0.6,0.4,90,48,.9482,41.767
72,0.6,0.5,90,56,.9568,33.321
73,0.6,0.6,90,57,.9568,19.414
74,0.6,0.7,90,63,.9568,21.782
75,0.6,0.8,90,55,.9568,17.423
76,0.6,0.9,90,61,.9655,13.899
77,0.6,1.0,90,87,.9655,6.326
78,0.7,0.0,90,88,.9568,45.322
79,0.7,0.1,90,45,.9482,116.579
80,0.7,0.2,90,48,.9396,55.957
81,0.7,0.3,90,50,.9568,49.505
82,0.7,0.4,90,52,.9568,32.507
83,0.7,0.5,90,49,.9482,38.562
84,0.7,0.6,90,61,.9655,23.827
85,0.7,0.7,90,59,.9568,22.116
86,0.7,0.8,90,54,.9568,22.265
87,0.7,0.9,90,71,.9655,7.819
88,0.7,1.0,90,87,.9655,6.511
89,0.8,0.0,90,88,.9655,47.999
90,0.8,0.1,90,50,.9482,71.874
91,0.8,0.2,90,46,.9396,66.231
92,0.8,0.3,90,52,.9482,37.003
93,0.8,0.4,90,50,.9482,39.169
94,0.8,0.5,90,53,.9568,37.449
95,0.8,0.6,90,54,.9482,25.856
96,0.8,0.7,90,57,.9568,22.549
97,0.8,0.8,90,65,.9655,14.371
98,0.8,0.9,90,86,.9655,7.347
99,0.8,1.0,90,88,.9655,6.336
100,0.9,0.0,90,87,.9655,50.867
101,0.9,0.1,90,47,.9396,94.494
102,0.9,0.2,90,50,.9568,55.186
103,0.9,0.3,90,51,.9482,49.51
104,0.9,0.4,90,47,.9482,44.142
105,0.9,0.5,90,53,.9568,33.216
106,0.9,0.6,90,59,.9655,19.353
107,0.9,0.7,90,53,.9568,22.638
108,0.9,0.8,90,63,.9568,14.918
109,0.9,0.9,90,59,.9482,10.643
110,0.9,1.0,90,87,.9655,6.782
111,1.0,0.0,90,84,.9568,53.372
112,1.0,0.1,90,44,.9396,112.878
113,1.0,0.2,90,47,.9482,59.143
114,1.0,0.3,90,50,.9482,49.53
115,1.0,0.4,90,52,.9482,41.036
116,1.0,0.5,90,57,.9396,23.404
117,1.0,0.6,90,55,.9568,20.786
118,1.0,0.7,90,58,.9568,19.963
119,1.0,0.8,90,57,.9568,19.465
120,1.0,0.9,90,64,.9655,13.286
121,1.0,1.0,90,86,.9655,6.24
