Run,Crossoverrate,Mutationrate,TS,RTS,Mutation Score,Time
1,0.0,0.0,312,293,.9048,33.354
2,0.0,0.1,312,299,.9024,302.754
3,0.0,0.2,312,298,.9024,309.705
4,0.0,0.3,312,303,.9024,284.684
5,0.0,0.4,312,301,.9048,253.299
6,0.0,0.5,312,297,.9048,229.673
7,0.0,0.6,312,301,.9024,198.124
8,0.0,0.7,312,302,.9048,161.281
9,0.0,0.8,312,304,.9048,130.887
10,0.0,0.9,312,298,.9048,96.448
11,0.0,1.0,312,292,.9048,64.181
12,0.1,0.0,312,294,.9024,218.482
13,0.1,0.1,312,296,.9048,360.731
14,0.1,0.2,312,295,.9024,384.561
15,0.1,0.3,312,304,.9048,312.465
16,0.1,0.4,312,295,.9048,270.959
17,0.1,0.5,312,300,.9048,239.939
18,0.1,0.6,312,297,.9048,209.034
19,0.1,0.7,312,301,.9048,149.199
20,0.1,0.8,312,293,.9024,140.951
21,0.1,0.9,312,302,.9048,100.704
22,0.1,1.0,312,301,.9048,64.604
23,0.2,0.0,312,297,.9024,378.116
24,0.2,0.1,312,298,.9024,451.657
25,0.2,0.2,312,297,.9048,408.072
26,0.2,0.3,312,293,.9048,321.478
27,0.2,0.4,312,300,.9048,283.635
28,0.2,0.5,312,300,.9048,221.145
29,0.2,0.6,312,297,.9048,193.566
30,0.2,0.7,312,302,.9048,152.278
31,0.2,0.8,312,291,.9048,126.002
32,0.2,0.9,312,299,.9024,87.756
33,0.2,1.0,312,299,.9048,68.414
34,0.3,0.0,312,302,.9048,542.321
35,0.3,0.1,312,297,.9048,525.266
36,0.3,0.2,312,290,.9048,410.086
37,0.3,0.3,312,301,.9048,376.229
38,0.3,0.4,312,293,.9048,279.178
39,0.3,0.5,312,292,.9048,218.551
40,0.3,0.6,312,296,.9048,187.802
41,0.3,0.7,312,297,.9048,145.117
42,0.3,0.8,312,302,.9048,118.768
43,0.3,0.9,312,296,.9048,86.989
44,0.3,1.0,312,295,.9048,66.054
45,0.4,0.0,312,292,.9024,615.987
46,0.4,0.1,312,295,.9048,549.167
47,0.4,0.2,312,293,.9048,489.686
48,0.4,0.3,312,298,.9048,325.802
49,0.4,0.4,312,300,.9048,303.446
50,0.4,0.5,312,296,.9048,219.576
51,0.4,0.6,312,304,.9048,183.11
52,0.4,0.7,312,293,.9048,139.255
53,0.4,0.8,312,296,.9048,112.475
54,0.4,0.9,312,303,.9048,82.777
55,0.4,1.0,312,290,.9024,65.144
56,0.5,0.0,312,299,.9048,752.703
57,0.5,0.1,312,299,.9048,537.543
58,0.5,0.2,312,290,.9048,446.573
59,0.5,0.3,312,290,.9048,343.172
60,0.5,0.4,312,300,.9048,295.451
61,0.5,0.5,312,294,.9048,217.134
62,0.5,0.6,312,302,.9048,173.504
63,0.5,0.7,312,301,.9048,136.188
64,0.5,0.8,312,288,.9048,112.063
65,0.5,0.9,312,306,.9048,86.635
66,0.5,1.0,312,303,.9048,63.897
67,0.6,0.0,312,304,.9024,924.76
68,0.6,0.1,312,295,.9024,597.034
69,0.6,0.2,312,296,.9024,499.968
70,0.6,0.3,312,291,.9048,392.641
71,0.6,0.4,312,298,.9048,262.32
72,0.6,0.5,312,300,.9024,216.351
73,0.6,0.6,312,297,.9048,173.182
74,0.6,0.7,312,300,.9048,129.88
75,0.6,0.8,312,293,.9048,101.412
76,0.6,0.9,312,298,.9048,85.234
77,0.6,1.0,312,299,.9048,66.233
78,0.7,0.0,312,297,.9048,1035.526
79,0.7,0.1,312,299,.9048,628.725
80,0.7,0.2,312,297,.9048,536.883
81,0.7,0.3,312,293,.9048,393.768
82,0.7,0.4,312,299,.9048,274.734
83,0.7,0.5,312,299,.9048,207.014
84,0.7,0.6,312,294,.9048,175.448
85,0.7,0.7,312,297,.9048,130.457
86,0.7,0.8,312,293,.9048,99.772
87,0.7,0.9,312,300,.9048,79.535
88,0.7,1.0,312,300,.9024,63.747
89,0.8,0.0,312,298,.9048,915.53
90,0.8,0.1,312,296,.9048,624.078
91,0.8,0.2,312,302,.9048,446.663
92,0.8,0.3,312,295,.9048,378.11
93,0.8,0.4,312,300,.9048,287.463
94,0.8,0.5,312,294,.9048,209.444
95,0.8,0.6,312,300,.9048,160.077
96,0.8,0.7,312,298,.9048,126.668
97,0.8,0.8,312,300,.9048,105.171
98,0.8,0.9,312,294,.9048,76.061
99,0.8,1.0,312,298,.9024,64.661
100,0.9,0.0,312,297,.9024,975.467
101,0.9,0.1,312,298,.9048,711.159
102,0.9,0.2,312,297,.9048,468.282
103,0.9,0.3,312,292,.9048,360.316
104,0.9,0.4,312,299,.9048,268.943
105,0.9,0.5,312,302,.9048,204.467
106,0.9,0.6,312,300,.9048,163.231
107,0.9,0.7,312,291,.9048,131.54
108,0.9,0.8,312,295,.9048,102.512
109,0.9,0.9,312,299,.9048,82.082
110,0.9,1.0,312,296,.9048,72.774
111,1.0,0.0,312,301,.9048,1003.378
112,1.0,0.1,312,299,.9048,620.886
113,1.0,0.2,312,301,.9048,445.264
114,1.0,0.3,312,301,.9048,339.708
115,1.0,0.4,312,302,.9048,249.823
116,1.0,0.5,312,298,.9048,197.689
117,1.0,0.6,312,292,.9048,144.714
118,1.0,0.7,312,298,.9048,110.464
119,1.0,0.8,312,299,.9048,94.576
120,1.0,0.9,312,304,.9024,72.872
121,1.0,1.0,312,297,.9048,59.984
