ID,Project,TS,Total Lines,Covered Lines,Line Coverage,Total Mutants, killed Mutants,Mutationscore
1,commons-lang,2622,13428,12602,.9384,11271,9580,.8499
2,commons-io,1064,5218,4646,.8903,3269,2657,.8127
3,lambdaj,266,1683,1600,.9506,1284,1027,.7998
4,exp4j,312,658,607,.9224,410,371,.9048
5,commons-cli,318,1178,1134,.9626,735,649,.8829
6,commons-csv,311,985,895,.9086,642,527,.8208
7,minimal-json,457,904,877,.9701,611,568,.9296
8,java-tuple,793,1093,1092,.9990,1120,1104,.9857
9,json-simple,26,932,646,.6931,451,294,.6518
10,confucius,90,261,248,.9501,116,112,.9655
11,ascii-table,21,212,209,.9858,167,154,.9221
