Run,Crossoverrate,Mutationrate,TS,RTS,Mutation Score,Time
1,0.0,0.0,793,738,.9526,13.455
2,0.0,0.1,793,759,.9723,53.26
3,0.0,0.2,793,756,.9526,58.18
4,0.0,0.3,793,745,.9366,59.804
5,0.0,0.4,793,749,.9616,49.232
6,0.0,0.5,793,757,.9678,49.053
7,0.0,0.6,793,748,.9410,64.736
8,0.0,0.7,793,756,.9705,51.68
9,0.0,0.8,793,762,.9464,69.283
10,0.0,0.9,793,754,.9642,88.008
11,0.0,1.0,793,749,.9607,71.753
12,0.1,0.0,793,763,.9723,33.316
13,0.1,0.1,793,758,.9696,58.815
14,0.1,0.2,793,750,.9625,63.025
15,0.1,0.3,793,760,.9535,51.123
16,0.1,0.4,793,753,.9312,66.527
17,0.1,0.5,793,756,.9651,53.034
18,0.1,0.6,793,765,.9758,68.09
19,0.1,0.7,793,756,.9669,70.232
20,0.1,0.8,793,761,.9419,71.177
21,0.1,0.9,793,749,.9669,57.435
22,0.1,1.0,793,758,.9687,80.989
23,0.2,0.0,793,751,.9633,42.148
24,0.2,0.1,793,754,.9455,70.387
25,0.2,0.2,793,755,.9678,70.123
26,0.2,0.3,793,750,.9607,64.289
27,0.2,0.4,793,755,.9651,68.71
28,0.2,0.5,793,755,.9705,68.841
29,0.2,0.6,793,751,.9598,69.532
30,0.2,0.7,793,758,.9687,66.726
31,0.2,0.8,793,750,.9500,71.282
32,0.2,0.9,793,760,.9651,73.657
33,0.2,1.0,793,758,.9678,72.046
34,0.3,0.0,793,751,.9366,50.715
35,0.3,0.1,793,754,.9607,76.608
36,0.3,0.2,793,762,.9607,71.849
37,0.3,0.3,793,752,.9553,72.625
38,0.3,0.4,793,757,.9625,70.0
39,0.3,0.5,793,750,.9214,71.058
40,0.3,0.6,793,744,.9642,111.781
41,0.3,0.7,793,755,.9696,91.908
42,0.3,0.8,793,752,.9366,72.916
43,0.3,0.9,793,753,.9678,73.857
44,0.3,1.0,793,756,.9616,71.972
45,0.4,0.0,793,764,.9696,79.024
46,0.4,0.1,793,755,.9392,85.805
47,0.4,0.2,793,755,.9687,77.241
48,0.4,0.3,793,742,.9348,76.272
49,0.4,0.4,793,759,.9651,73.732
50,0.4,0.5,793,755,.9633,72.757
51,0.4,0.6,793,755,.9625,74.522
52,0.4,0.7,793,756,.9553,60.14
53,0.4,0.8,793,757,.9383,75.599
54,0.4,0.9,793,756,.9607,103.708
55,0.4,1.0,793,748,.9464,74.037
56,0.5,0.0,793,754,.9633,90.46
57,0.5,0.1,793,752,.9669,69.572
58,0.5,0.2,793,755,.9678,75.689
59,0.5,0.3,793,749,.9116,74.429
60,0.5,0.4,793,743,.9392,75.636
61,0.5,0.5,793,767,.9401,75.564
62,0.5,0.6,793,752,.9660,73.093
63,0.5,0.7,793,754,.9625,72.97
64,0.5,0.8,793,757,.9660,63.051
65,0.5,0.9,793,754,.9687,73.656
66,0.5,1.0,793,753,.9428,74.137
67,0.6,0.0,793,763,.9553,98.186
68,0.6,0.1,793,769,.9723,90.761
69,0.6,0.2,793,758,.9580,65.592
70,0.6,0.3,793,751,.9571,78.019
71,0.6,0.4,793,763,.9428,77.514
72,0.6,0.5,793,761,.9732,76.43
73,0.6,0.6,793,754,.9589,116.493
74,0.6,0.7,793,753,.9607,75.834
75,0.6,0.8,793,751,.9339,90.439
76,0.6,0.9,793,756,.9419,61.991
77,0.6,1.0,793,761,.9544,74.628
78,0.7,0.0,793,753,.9687,105.742
79,0.7,0.1,793,748,.9491,90.411
80,0.7,0.2,793,764,.9294,85.453
81,0.7,0.3,793,765,.9714,80.349
82,0.7,0.4,793,761,.9678,77.928
83,0.7,0.5,793,754,.9687,76.67
84,0.7,0.6,793,751,.9544,60.153
85,0.7,0.7,793,745,.9660,74.294
86,0.7,0.8,793,766,.9678,75.962
87,0.7,0.9,793,767,.9598,75.647
88,0.7,1.0,793,746,.9348,75.098
89,0.8,0.0,793,747,.9571,112.447
90,0.8,0.1,793,758,.9651,96.289
91,0.8,0.2,793,764,.9678,88.438
92,0.8,0.3,793,759,.9517,79.268
93,0.8,0.4,793,741,.9589,66.422
94,0.8,0.5,793,755,.9383,65.607
95,0.8,0.6,793,749,.9473,76.999
96,0.8,0.7,793,763,.9678,74.892
97,0.8,0.8,793,751,.9571,74.166
98,0.8,0.9,793,756,.9571,74.968
99,0.8,1.0,793,745,.9321,78.125
100,0.9,0.0,793,745,.9348,116.68
101,0.9,0.1,793,736,.9580,101.562
102,0.9,0.2,793,746,.9375,89.812
103,0.9,0.3,793,754,.9705,85.092
104,0.9,0.4,793,756,.9383,80.237
105,0.9,0.5,793,755,.9491,77.973
106,0.9,0.6,793,747,.9482,78.715
107,0.9,0.7,793,745,.9616,76.836
108,0.9,0.8,793,751,.9526,77.156
109,0.9,0.9,793,755,.9607,76.286
110,0.9,1.0,793,753,.9375,71.532
111,1.0,0.0,793,755,.9544,199.543
112,1.0,0.1,793,742,.9062,103.182
113,1.0,0.2,793,754,.9651,90.814
114,1.0,0.3,793,753,.9375,134.698
115,1.0,0.4,793,742,.9562,78.894
116,1.0,0.5,793,763,.9696,81.267
117,1.0,0.6,793,745,.9678,78.603
118,1.0,0.7,793,751,.9383,60.829
119,1.0,0.8,793,757,.9562,77.62
120,1.0,0.9,793,748,.9303,77.287
121,1.0,1.0,793,759,.9723,75.547
