Run,Crossoverrate,Mutationrate,TS,RTS,Mutation Score,Time
1,0.0,0.0,26,25,.6518,2.823
2,0.0,0.1,26,22,.6518,20.262
3,0.0,0.2,26,23,.6518,14.009
4,0.0,0.3,26,25,.6518,12.225
5,0.0,0.4,26,23,.6518,12.655
6,0.0,0.5,26,25,.6518,11.734
7,0.0,0.6,26,25,.6518,10.181
8,0.0,0.7,26,25,.6518,8.768
9,0.0,0.8,26,22,.6518,7.476
10,0.0,0.9,26,25,.6518,6.047
11,0.0,1.0,26,25,.6518,5.005
12,0.1,0.0,26,22,.6518,12.579
13,0.1,0.1,26,22,.6518,18.281
14,0.1,0.2,26,22,.6518,16.513
15,0.1,0.3,26,23,.6518,14.204
16,0.1,0.4,26,23,.6518,12.349
17,0.1,0.5,26,23,.6518,10.702
18,0.1,0.6,26,23,.6518,14.242
19,0.1,0.7,26,23,.6518,8.358
20,0.1,0.8,26,23,.6518,7.64
21,0.1,0.9,26,22,.6518,6.315
22,0.1,1.0,26,23,.6518,5.1
23,0.2,0.0,26,23,.6518,15.896
24,0.2,0.1,26,23,.6518,19.055
25,0.2,0.2,26,23,.6518,18.262
26,0.2,0.3,26,23,.6518,21.768
27,0.2,0.4,26,22,.6518,24.391
28,0.2,0.5,26,22,.6518,11.196
29,0.2,0.6,26,23,.6518,9.642
30,0.2,0.7,26,23,.6518,8.304
31,0.2,0.8,26,22,.6518,7.485
32,0.2,0.9,26,25,.6518,6.078
33,0.2,1.0,26,25,.6518,5.066
34,0.3,0.0,26,23,.6518,22.567
35,0.3,0.1,26,23,.6518,22.261
36,0.3,0.2,26,22,.6518,18.714
37,0.3,0.3,26,22,.6518,15.464
38,0.3,0.4,26,23,.6518,19.036
39,0.3,0.5,26,23,.6518,13.039
40,0.3,0.6,26,22,.6518,13.006
41,0.3,0.7,26,23,.6518,11.575
42,0.3,0.8,26,26,.6518,7.039
43,0.3,0.9,26,25,.6518,6.027
44,0.3,1.0,26,26,.6518,4.907
45,0.4,0.0,26,23,.6518,29.842
46,0.4,0.1,26,22,.6518,22.946
47,0.4,0.2,26,22,.6518,19.268
48,0.4,0.3,26,23,.6518,14.973
49,0.4,0.4,26,23,.6518,13.538
50,0.4,0.5,26,23,.6518,16.321
51,0.4,0.6,26,23,.6518,9.676
52,0.4,0.7,26,23,.6518,7.835
53,0.4,0.8,26,26,.6518,6.603
54,0.4,0.9,26,26,.6518,5.954
55,0.4,1.0,26,23,.6518,5.215
56,0.5,0.0,26,23,.6518,48.122
57,0.5,0.1,26,22,.6518,24.321
58,0.5,0.2,26,22,.6518,26.19
59,0.5,0.3,26,23,.6518,23.625
60,0.5,0.4,26,22,.6518,15.116
61,0.5,0.5,26,23,.6518,10.792
62,0.5,0.6,26,23,.6518,9.568
63,0.5,0.7,26,22,.6518,12.065
64,0.5,0.8,26,22,.6518,6.358
65,0.5,0.9,26,23,.6518,5.744
66,0.5,1.0,26,26,.6518,4.95
67,0.6,0.0,26,23,.6518,34.891
68,0.6,0.1,26,22,.6518,23.749
69,0.6,0.2,26,22,.6518,19.461
70,0.6,0.3,26,22,.6518,15.318
71,0.6,0.4,26,23,.6518,12.474
72,0.6,0.5,26,22,.6518,12.87
73,0.6,0.6,26,22,.6518,12.566
74,0.6,0.7,26,25,.6518,7.466
75,0.6,0.8,26,23,.6518,6.694
76,0.6,0.9,26,25,.6518,5.95
77,0.6,1.0,26,24,.6518,5.166
78,0.7,0.0,26,23,.6518,38.15
79,0.7,0.1,26,22,.6518,26.027
80,0.7,0.2,26,22,.6518,23.698
81,0.7,0.3,26,23,.6518,16.758
82,0.7,0.4,26,23,.6518,13.29
83,0.7,0.5,26,22,.6518,13.081
84,0.7,0.6,26,21,.6518,10.818
85,0.7,0.7,26,22,.6518,11.138
86,0.7,0.8,26,22,.6518,7.044
87,0.7,0.9,26,23,.6518,5.739
88,0.7,1.0,26,25,.6518,5.027
89,0.8,0.0,26,23,.6518,40.37
90,0.8,0.1,26,23,.6518,29.86
91,0.8,0.2,26,22,.6518,20.113
92,0.8,0.3,26,22,.6518,17.094
93,0.8,0.4,26,22,.6518,15.588
94,0.8,0.5,26,23,.6518,10.779
95,0.8,0.6,26,22,.6518,9.376
96,0.8,0.7,26,23,.6518,7.059
97,0.8,0.8,26,26,.6518,6.369
98,0.8,0.9,26,22,.6518,5.673
99,0.8,1.0,26,26,.6518,4.936
100,0.9,0.0,26,22,.6518,47.524
101,0.9,0.1,26,23,.6518,26.155
102,0.9,0.2,26,23,.6518,21.747
103,0.9,0.3,26,22,.6518,15.09
104,0.9,0.4,26,21,.6518,15.639
105,0.9,0.5,26,22,.6518,12.726
106,0.9,0.6,26,23,.6518,8.606
107,0.9,0.7,26,22,.6518,7.203
108,0.9,0.8,26,22,.6518,6.885
109,0.9,0.9,26,23,.6518,7.94
110,0.9,1.0,26,25,.6518,5.179
111,1.0,0.0,26,22,.6518,44.699
112,1.0,0.1,26,22,.6518,30.11
113,1.0,0.2,26,23,.6518,20.639
114,1.0,0.3,26,22,.6518,15.103
115,1.0,0.4,26,22,.6518,12.092
116,1.0,0.5,26,23,.6518,11.909
117,1.0,0.6,26,22,.6518,8.576
118,1.0,0.7,26,21,.6518,7.798
119,1.0,0.8,26,26,.6518,6.1
120,1.0,0.9,26,25,.6518,5.549
121,1.0,1.0,26,26,.6518,4.97
