Run,Crossoverrate,Mutationrate,TS,RTS,Mutation Score,Time
1,0.0,0.0,457,430,.9247,9.101
2,0.0,0.1,457,439,.9230,248.928
3,0.0,0.2,457,436,.9279,216.253
4,0.0,0.3,457,427,.9230,206.871
5,0.0,0.4,457,429,.9279,220.406
6,0.0,0.5,457,426,.9247,164.601
7,0.0,0.6,457,434,.9230,165.995
8,0.0,0.7,457,433,.9247,125.505
9,0.0,0.8,457,428,.9230,123.776
10,0.0,0.9,457,433,.9263,68.667
11,0.0,1.0,457,427,.9181,52.235
12,0.1,0.0,457,429,.9214,172.904
13,0.1,0.1,457,435,.9279,316.633
14,0.1,0.2,457,438,.9230,305.523
15,0.1,0.3,457,425,.9214,286.256
16,0.1,0.4,457,418,.9198,299.965
17,0.1,0.5,457,427,.9296,221.946
18,0.1,0.6,457,424,.9132,172.683
19,0.1,0.7,457,426,.9181,114.856
20,0.1,0.8,457,423,.9263,107.41
21,0.1,0.9,457,426,.9165,74.148
22,0.1,1.0,457,437,.9279,44.877
23,0.2,0.0,457,423,.9198,331.471
24,0.2,0.1,457,424,.9214,359.581
25,0.2,0.2,457,425,.9247,356.577
26,0.2,0.3,457,423,.9247,252.247
27,0.2,0.4,457,419,.9247,325.255
28,0.2,0.5,457,423,.9279,184.919
29,0.2,0.6,457,430,.9263,154.138
30,0.2,0.7,457,430,.9247,118.493
31,0.2,0.8,457,423,.9247,166.158
32,0.2,0.9,457,420,.9230,79.509
33,0.2,1.0,457,436,.9279,45.112
34,0.3,0.0,457,431,.9198,404.714
35,0.3,0.1,457,411,.9230,452.394
36,0.3,0.2,457,411,.9181,345.048
37,0.3,0.3,457,420,.9132,401.55
38,0.3,0.4,457,426,.9181,268.86
39,0.3,0.5,457,419,.9148,294.649
40,0.3,0.6,457,422,.9214,196.36
41,0.3,0.7,457,420,.9230,151.032
42,0.3,0.8,457,428,.9148,91.096
43,0.3,0.9,457,430,.9247,64.07
44,0.3,1.0,457,433,.9263,48.292
45,0.4,0.0,457,432,.9263,484.342
46,0.4,0.1,457,413,.9132,908.953
47,0.4,0.2,457,409,.9083,865.345
48,0.4,0.3,457,409,.9165,253.115
49,0.4,0.4,457,419,.9148,336.272
50,0.4,0.5,457,425,.9247,372.24
51,0.4,0.6,457,424,.9263,128.638
52,0.4,0.7,457,427,.9230,115.07
53,0.4,0.8,457,429,.9279,96.369
54,0.4,0.9,457,417,.9198,86.174
55,0.4,1.0,457,430,.9230,44.915
56,0.5,0.0,457,420,.9214,606.484
57,0.5,0.1,457,417,.9214,679.303
58,0.5,0.2,457,418,.9165,562.143
59,0.5,0.3,457,424,.9165,279.575
60,0.5,0.4,457,424,.9214,262.606
61,0.5,0.5,457,432,.9263,152.155
62,0.5,0.6,457,425,.9214,120.471
63,0.5,0.7,457,422,.9214,129.318
64,0.5,0.8,457,418,.9296,88.689
65,0.5,0.9,457,423,.9263,57.205
66,0.5,1.0,457,433,.9263,44.271
67,0.6,0.0,457,426,.9214,675.822
68,0.6,0.1,457,412,.9116,667.137
69,0.6,0.2,457,416,.9214,594.699
70,0.6,0.3,457,424,.9214,426.389
71,0.6,0.4,457,431,.9230,195.347
72,0.6,0.5,457,420,.9198,213.394
73,0.6,0.6,457,422,.9263,113.203
74,0.6,0.7,457,435,.9263,119.463
75,0.6,0.8,457,424,.9247,70.127
76,0.6,0.9,457,422,.9198,60.53
77,0.6,1.0,457,432,.9230,44.203
78,0.7,0.0,457,433,.9263,653.663
79,0.7,0.1,457,401,.9165,969.075
80,0.7,0.2,457,406,.9198,473.473
81,0.7,0.3,457,399,.9099,600.128
82,0.7,0.4,457,427,.9230,260.536
83,0.7,0.5,457,415,.9132,174.76
84,0.7,0.6,457,429,.9263,149.563
85,0.7,0.7,457,424,.9263,97.383
86,0.7,0.8,457,421,.9263,92.288
87,0.7,0.9,457,428,.9214,63.718
88,0.7,1.0,457,432,.9247,69.88
89,0.8,0.0,457,428,.9230,843.865
90,0.8,0.1,457,415,.9198,691.085
91,0.8,0.2,457,413,.9148,343.125
92,0.8,0.3,457,407,.9099,348.115
93,0.8,0.4,457,403,.9132,597.081
94,0.8,0.5,457,415,.9198,146.026
95,0.8,0.6,457,418,.9230,114.537
96,0.8,0.7,457,434,.9263,86.793
97,0.8,0.8,457,407,.9165,64.733
98,0.8,0.9,457,434,.9230,53.373
99,0.8,1.0,457,438,.9263,45.167
100,0.9,0.0,457,424,.9263,1475.289
101,0.9,0.1,457,416,.9181,681.842
102,0.9,0.2,457,397,.9132,594.999
103,0.9,0.3,457,408,.9116,308.303
104,0.9,0.4,457,416,.9165,352.083
105,0.9,0.5,457,416,.9198,209.901
106,0.9,0.6,457,406,.9198,157.229
107,0.9,0.7,457,433,.9214,80.107
108,0.9,0.8,457,411,.9198,109.115
109,0.9,0.9,457,430,.9230,51.817
110,0.9,1.0,457,434,.9263,51.953
111,1.0,0.0,457,427,.9263,783.935
112,1.0,0.1,457,416,.9165,857.879
113,1.0,0.2,457,411,.9198,596.958
114,1.0,0.3,457,404,.9198,445.896
115,1.0,0.4,457,409,.9083,200.994
116,1.0,0.5,457,413,.9263,157.254
117,1.0,0.6,457,400,.9181,234.477
118,1.0,0.7,457,429,.9230,75.022
119,1.0,0.8,457,419,.9214,59.803
120,1.0,0.9,457,424,.9230,71.249
121,1.0,1.0,457,434,.9214,44.759
